"","ID","Region","RiverName","Date","Lattitude","Longitude","DOC_mgL","C1_percent","C4_percent","DHg_ngL","DMeHg_ngL","DMeHg_DHg_ratio","d13C_CO2_permil","d13C_CH4_permil","alpha_CO2CH4","CO2_mgCL","CH4_mgCL","FOX","MOX_mgCL"
"1","R01U001","EI","Harricana","43298",48.57016,-78.12148,12.231359095954,0.485621216376307,0.0818689080795081,2.93026770434726,0.104429398630888,0.0356381768382321,-20.4327433333333,-52.9843333333333,1.03437281044629,0.634384015885573,0.169596558536214,-0.0402740804536896,0
"2","R03U002","EI","Broadback","43298",51.1859,-77.46555,9.05811724346686,0.521795834674561,0.0668016587129304,2.78682977435493,0.0493761613894854,0.0177176811600969,-16.177215,-57.52,1.04386595471522,0.368558653273471,0.0114221713792404,-0.134956597626406,0
"3","R04U003","EI","Rupert","43298",51.37653,-77.39489,5.40359196851983,0.517259301819366,0.0845462297663036,1.39425770355069,0.0453912643258303,0.0325558641062083,-15.14556,-52.5055,1.03943024471382,0.346469598161796,0.0377343046477528,-0.0229646051291838,0
"4","R05U004","EI","Pontax","43299",51.73375,-77.38312,10.6780345071133,0.577354084900414,0.0374591430288644,2.41642090228039,0.0791060501804832,0.032736867201335,-19.0529133333333,-48.6503333333333,1.03111097952418,0.508370970724829,0.0592946356511427,0.0948111152969126,0.00562179053720892
"5","R07U005","EI","Eastmain","43299",52.32167,-77.105,11.1820199778024,0.53293766921306,0.0795155911627678,3.2585274130944,0.0419696711489201,0.0128799503052406,-18.437725,-52.4245,1.03586708921875,0.458298259458669,0.0405317091367282,-0.0229876473937289,0
"6","R11U006","EI","La_Grande","43303",53.80481,-77.58735,4.24730097871052,0.511849734938779,0.0980565604002556,0.736682638331654,0.0594241584398802,0.0806645295380607,-16.2678333333333,-35.8743333333333,1.02033604194751,0.524089785646509,0.0108330756073122,0.773290432192277,0.00837711371835009
"7","R11M007","EI","La_Grande","43303",53.73948,-78.61194,4.06820704267985,0.482378592089967,0.114762131534885,0.775210384062626,0.0500215948166976,0.0645264767411275,-16.9163633333333,-38.432,1.02237557475568,0.556661964588272,0.0168937203903206,0.588498849472422,0.00994193501301246
"8","R11E008","EI","La_Grande","43303",53.79219,-78.89265,4.05458581374231,0.478343819036282,0.146835609885152,1.2960495094893,0.0554949363149628,0.0428185311661668,-16.4013633333333,-39.989,1.02457017332788,NA,NA,0.472564838882402,NA
"9","R17U009","EI","Guillaume","43303",53.870972,-78.727631,18.3669659973767,0.58379251826103,0.0359151325128628,NA,NA,NA,-20.4873466666667,-48.4326666666667,1.02936767480459,0.760715417094047,0.134568588682025,0.107851008103601,0.0145133579484353
"10","R17E010","EI","Guillaume","43303",53.937755,-79.003838,17.8604580768843,0.56927806006251,0.0298038637198086,3.01046275145035,0.350208235369427,0.116330366552686,-18.1809066666667,-16.725,0.998519329112744,0.293321038564299,0.0696929449877394,-23.553512330232,0
"11","R18E011","EI","Au_Phoque","43304",54.5368,-79.50357,5.6931692059328,0.48492835239546,0.0778774146085094,1.83540664329764,0.0675559845375321,0.0368070938308012,-13.94119,-49.403,1.03730477794481,0.31542206299916,0.0646327924013304,0.0588932603552951,0.00380643587038129
"12","R19E012","EI","Au_Saumon","43304",54.63274,-79.58649,7.23085460599334,0.299852807980927,0.323071945825174,0.651802937774425,0.169401415423382,0.259896673681468,-13.4135666666667,-49.3486666666667,1.03780050449622,0.443923003131098,0.0510138621044209,0.0595582880000635,0.00303829829121062
"13","R14E013","EI","Caillet","43304",53.55836,-78.86706,17.948743819998,0.570098593036479,0.0540652664469075,3.70169569438118,0.299814072926561,0.080993711444636,-18.2380266666667,-54.4483333333333,1.03829542894712,0.944811559302087,0.143923627670877,-0.0743778934364781,0
"14","R15E014","EI","Aquatuc","43304",53.66968,-78.95577,21.0896983150035,0.583442670245913,0.0502260662467442,3.68957629948525,0.415842575104846,0.112707406311902,-21.4627533333333,-46.2676666666667,1.02600825458715,0.872164404780577,0.0873835729016717,0.205024651518412,0.017915786582599
"15","R16E015","EI","Chinusaw","43304",53.72984,-78.99654,22.4508122288366,0.492848198994444,0.0929319291583811,2.08105214734174,0.259870889806973,0.124874761134132,-21.85697,-43.8213333333333,1.02297098241054,1.41758638951368,0.189394012390638,0.338630125940875,0.0641345182682896
"16","R10U016","EI","Au_Castor","43305",53.31818,-78.30644,9.8864897588538,0.528010119351556,0.0525878120014737,1.78725857920939,0.0802700405138216,0.0449123822638634,-16.47233,-54.214,1.03990508423681,0.32254089291042,0.0285562144021227,-0.0655054374647441,0
"17","R10E017","EI","Au_Castor","43305",53.39991,-78.92124,11.624962163253,0.540230964952041,0.0449346120203956,2.53848976125008,0.106615722348815,0.0419996660913503,-17.2808933333333,-55.7153333333333,1.04070217526212,0.370417944915565,0.0222887211531016,-0.101108437247657,0
"18","R09U018","EI","Maquatua","43305",53.12881,-78.40434,10.4626172939159,0.518681858885388,0.0792835406619058,2.69743469469613,0.0760774542830557,0.028203631558771,-17.6592433333333,-54.8373333333333,1.03933512326626,0.44968610544539,0.125504617540851,-0.0823013394776922,0
"19","R08U019","EI","Vieux_Comptoir","43305",52.75099,-78.27346,10.2214710927253,0.545608045542145,0.0683338675716301,2.1165945501974,0.0982046625069699,0.0463974843447513,-16.90637,-58.0556666666667,1.04368548672197,0.349846693511148,0.0990428515754122,-0.147776004139615,0
